danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,track_href,analysis_url,duration_ms,time_signature,name,artist,link,popularity,genres
0.744,0.614,1,-3.908,0,0.0838,0.00685,0.334,0.0708,0.774,131.994,2idmlkd8oUaQvYEtINpLBX,https://api.spotify.com/v1/tracks/2idmlkd8oUaQvYEtINpLBX,https://api.spotify.com/v1/audio-analysis/2idmlkd8oUaQvYEtINpLBX,383547,4,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,https://open.spotify.com/track/2idmlkd8oUaQvYEtINpLBX,64,"alternative dance, alternative rock, art pop, dance-punk, garage rock, indie rock, modern rock, neo-synthpop, new rave, canadian electronic, edm, electro house, electronic trap, fidget house, turntablism"
0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,5fwSHlTEWpluwOM0Sxnh5k,https://api.spotify.com/v1/tracks/5fwSHlTEWpluwOM0Sxnh5k,https://api.spotify.com/v1/audio-analysis/5fwSHlTEWpluwOM0Sxnh5k,287120,4,Pepas,Farruko,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k,83,"reggaeton, trap latino, urbano latino"
0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293,4,Boogie Wonderland,"Earth, Wind & Fire",https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD,79,"disco, funk, jazz funk, soul, chicago soul, classic soul, disco, funk, girl group, motown, post-disco, quiet storm, soul, southern soul"
0.53,0.77,9,-5.882,1,0.0824,0.000965,0.0115,0.265,0.107,184.537,00Ci0EXS4fNPnkTbS6wkOh,https://api.spotify.com/v1/tracks/00Ci0EXS4fNPnkTbS6wkOh,https://api.spotify.com/v1/audio-analysis/00Ci0EXS4fNPnkTbS6wkOh,253880,3,Electric Love - Oliver Remix,BØRNS,https://open.spotify.com/track/00Ci0EXS4fNPnkTbS6wkOh,57,"indie poptimism, modern alternative rock, modern rock, pov: indie"
0.677,0.766,6,-6.896,1,0.0568,0.0219,6.81e-06,0.129,0.198,123.062,51Of5p3lKZeOg6itfs4og4,https://api.spotify.com/v1/tracks/51Of5p3lKZeOg6itfs4og4,https://api.spotify.com/v1/audio-analysis/51Of5p3lKZeOg6itfs4og4,190488,4,Lovefool,twocolors,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4,73,"edm, pop dance, pop edm"
0.65,0.82,5,-10.9,0,0.0356,0.0662,0.00272,0.215,0.757,135.982,623rRTKwGmgjH6sjE9uWLh,https://api.spotify.com/v1/tracks/623rRTKwGmgjH6sjE9uWLh,https://api.spotify.com/v1/audio-analysis/623rRTKwGmgjH6sjE9uWLh,215973,4,Scatman (ski-ba-bop-ba-dop-bop),Scatman John,https://open.spotify.com/track/623rRTKwGmgjH6sjE9uWLh,74,eurodance
0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,0b18g3G5spr4ZCkz7Y6Q0Q,https://api.spotify.com/v1/tracks/0b18g3G5spr4ZCkz7Y6Q0Q,https://api.spotify.com/v1/audio-analysis/0b18g3G5spr4ZCkz7Y6Q0Q,186210,4,Rasputin,Majestic,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q,81,"uk dance, europop"
0.822,0.89,4,-2.757,1,0.112,0.0382,0.00206,0.106,0.218,122.989,4SCbD68sf3dBfaE2X8uDSP,https://api.spotify.com/v1/tracks/4SCbD68sf3dBfaE2X8uDSP,https://api.spotify.com/v1/audio-analysis/4SCbD68sf3dBfaE2X8uDSP,173659,4,Seven Nation Army,Gaullin,https://open.spotify.com/track/4SCbD68sf3dBfaE2X8uDSP,66,"lithuanian edm, lithuanian electronic, uk pop"
0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,7fZBQnc0zXwVybgCIrQQil,https://api.spotify.com/v1/tracks/7fZBQnc0zXwVybgCIrQQil,https://api.spotify.com/v1/audio-analysis/7fZBQnc0zXwVybgCIrQQil,151475,4,Belly Dancer,Imanbek,https://open.spotify.com/track/7fZBQnc0zXwVybgCIrQQil,83,"electro house, pop dance, slap house, pop dance, russian edm"
0.739,0.611,11,-9.829,1,0.0622,0.00557,0.725,0.04,0.794,98.004,2cmRpmO04TLaKPzmAzySYZ,https://api.spotify.com/v1/tracks/2cmRpmO04TLaKPzmAzySYZ,https://api.spotify.com/v1/audio-analysis/2cmRpmO04TLaKPzmAzySYZ,536471,4,Dance Yrself Clean,LCD Soundsystem,https://open.spotify.com/track/2cmRpmO04TLaKPzmAzySYZ,65,"alternative dance, alternative rock, art pop, dance rock, dance-punk, electronic rock, electronica, indie rock, indietronica, neo-synthpop, new rave"
